id_programa,nombre,categoria,descripcion,tecnologias,duracion_horas,nivel
1,Generative AI,Artificial Intelligence,Fundamentos de IA Generativa y LLMs,Generative AI|LLMs|Prompt Engineering|RAG,40,Intermedio
2,Artificial Intelligence,Artificial Intelligence,Intro a IA: NLP|Computer Vision|Generative AI,NLP|Computer Vision|Transformers|GenAI,80,Avanzado
3,Advanced Data Analytics,Artificial Intelligence,Analytics avanzado con Machine Learning,Machine Learning|Statistics|Python|Pandas|Scikit-learn,60,Avanzado
4,Data Processing for Data Science,Artificial Intelligence,Procesamiento de datos con Python|SQL y ETLs,Python|SQL|Pandas|Apache Spark|ETLs,50,Intermedio
5,Generative AI in the Workplace,Artificial Intelligence,Aplicación práctica de GenAI en empresas,GenAI|ChatGPT|Azure OpenAI|Prompt Engineering,35,Intermedio
6,Cloud Technologies,Cloud,Arquitecturas cloud con Azure|AWS|GCP,Azure|AWS|GCP|Networking|Storage,70,Intermedio
7,DevOps Methodologies,DevOps,DevOps: Linux|Docker|Kubernetes y Azure DevOps,Linux|Docker|Kubernetes|CI/CD|Azure DevOps,60,Intermedio
8,Big Data Architectures,Big Data,Arquitecturas Big Data: Hadoop|Spark|Kafka|NoSQL,Hadoop|Apache Spark|Kafka|HBase|MongoDB,80,Avanzado
9,Streaming Architectures,Big Data,Streaming: Conceptos|Kafka|Flink y Confluent,Kafka|Apache Flink|Confluent|Event Streaming|Real-time,50,Avanzado
10,Agile Development,Software Development,Metodologías Ágiles: Scrum y Certificaciones,Scrum|Kanban|SAFe|Agile Coaching|PMP,45,Intermedio
11,Fullstack Development,Software Development,Full Stack: Spring|NodeJS|Angular|MongoDB,Spring Boot|Node.js|Angular|React|MongoDB|NoSQL,80,Avanzado
12,Backend Development,Software Development,Backend: Java|Spring Boot|SQL|Kafka|Docker|K8S|Seguridad,Java|Spring Boot|SQL|Kafka|Docker|Kubernetes|Observabilidad|Security,90,Avanzado
13,Software Development,Software Development,Desarrollo en Python|Java y Scala,Python|Java|Scala|OOP|Design Patterns,60,Intermedio
14,C++ Development,Software Development,Programación avanzada en C++,C++|STL|Concurrency|Memory Management|Performance,70,Avanzado
15,Testing & QA,QA,Quality Assurance y Testing estratégico,Testing|QA|Automation|Selenium|JUnit|TDD,50,Intermedio
16,Software Quality Practices,QA,Buenas prácticas y Calidad en desarrollo,Code Review|CI/CD|SonarQube|Technical Debt|Quality Metrics,40,Intermedio
17,Visual Analytics,Business Intelligence,Power BI: Básico + Avanzado,Power BI|DAX|Data Modeling|Visualizations|Dashboards,55,Intermedio
18,Data Analytics in Cloud,Business Intelligence,Analytics en cloud con PySpark|Databricks|Snowflake,PySpark|Databricks|Snowflake|Delta Lake|SQL|BI,70,Avanzado
19,Ciberseguridad Iniciación,Ciberseguridad,Fundamentos de ciberseguridad,Security|Encryption|Networks|Vulnerabilities|Compliance,30,Principiante
