id_empleado,edad,genero,departamento,antiguedad_empresa,nivel_educativo,rol_tecnico,sector,frecuencia_uso_ia,usa_chatgpt,usa_gemini,usa_copilot,usa_lms_ia,usa_otra_ia,herramienta_principal,prefiere_humano_vs_ia,nivel_integracion_ia,AT1_rendimiento,AT2_facilita_aprendizaje,AT3_facilidad_uso,AT4_integracion_positiva,AE1_resolver_problemas,AE2_confianza_digital,AE3_uso_eficaz,AE4_seguridad_aplicacion,M1_estimulante,M2_aumenta_interes,M3_aporta_valor,M4_mayor_esfuerzo,E1_adaptacion,E2_feedback_util,E3_aplicable_trabajo,E4_aprendizaje_ritmo,D1_mejora_competencias,D2_preparado_retos,D3_amplia_habilidades,D4_aprendizaje_autonomo,C1_confio_sin_verificar,C2_dificil_sin_ia,C3_pensamiento_critico,C4_reflexiono_calidad,C3_inv,C4_inv,dependency_risk,dependency_level,dependency_risk_high,motivation_score,delta_motivation_score,motivation_improved,self_efficacy_score,dropout_risk,AT_mean,D_mean,E_mean,composite_roi_score,open_experience_ai_learning,open_challenges_ai_usage,open_training_needs
1XVWCBPH,50,Mujer,IT,17,Máster,0,Servicios,2,1,1,0,0,0,Gemini,6,3,2,5,6,6,3,1,4,5,7,3,4,6,5,6,5,6,7,5,7,7,4,3,5,5,3,3,3.25,low,0,5.0,1.0,1,3.25,1,4.75,6.5,5.5,5.583333333333333,"Experiencia de aprendizaje: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.","Principal desafío: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.","Necesidad de formación: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor."
MMY0MFRF,36,No binario,RRHH,1,FP Superior,1,Tecnología,4,0,1,1,1,0,ChatGPT,2,4,1,6,5,3,1,5,1,4,1,7,7,4,3,7,3,7,7,1,5,2,5,3,1,3,7,5,5.0,medium,0,4.75,0.75,1,2.75,1,3.75,3.75,5.0,4.166666666666667,"Experiencia de aprendizaje: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. La colaboración con mentores y compañeros aceleraría la adopción.","Principal desafío: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. La colaboración con mentores y compañeros aceleraría la adopción.","Necesidad de formación: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. La colaboración con mentores y compañeros aceleraría la adopción."
5OYF5MXQ,29,Mujer,Marketing,16,Máster,0,Industria,5,0,1,1,0,0,ChatGPT,4,2,7,1,5,1,5,6,6,3,4,6,2,6,2,2,5,7,6,4,2,1,1,2,4,3,4,5,3.0,low,0,4.5,0.5,1,5.0,0,3.5,3.25,4.0,3.583333333333333,"Experiencia de aprendizaje: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. Sesiones de formación aplicada podrían reducir la incertidumbre en escenarios reales.","Principal desafío: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. Sesiones de formación aplicada podrían reducir la incertidumbre en escenarios reales.","Necesidad de formación: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. Sesiones de formación aplicada podrían reducir la incertidumbre en escenarios reales."
7FADIBHD,42,No binario,Marketing,12,Máster,1,Servicios,5,1,0,1,1,0,LMS IA,1,2,1,5,7,1,3,1,5,4,3,6,1,4,3,7,4,1,3,5,2,6,4,6,3,7,5,1,4.0,medium,0,3.5,-0.5,0,3.25,1,3.5,4.0,3.75,3.75,Experiencia de aprendizaje: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso.,Principal desafío: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso.,Necesidad de formación: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso.
348YKIFK,40,Hombre,RRHH,19,FP Superior,1,Tecnología,5,1,0,1,0,0,Copilot,7,5,7,6,1,1,3,5,7,1,1,2,2,2,2,5,1,4,5,2,4,3,6,6,1,7,7,1,5.0,medium,0,1.75,-2.25,0,4.0,1,3.75,3.5,3.0,3.4166666666666665,Experiencia de aprendizaje: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.,Principal desafío: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.,Necesidad de formación: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.
FAPF14M6,44,No binario,Finanzas,14,Grado,0,Industria,5,1,1,0,0,0,LMS IA,7,5,4,5,1,7,1,4,2,1,6,4,3,4,3,4,7,1,2,2,6,4,2,6,2,1,6,7,5.25,medium,0,4.25,0.25,1,2.0,1,4.25,3.5,3.75,3.8333333333333335,"Experiencia de aprendizaje: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.","Principal desafío: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.","Necesidad de formación: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor."
LQMU91LY,32,Mujer,IT,6,FP Superior,0,Tecnología,5,1,0,0,1,0,LMS IA,4,2,6,4,4,2,2,2,5,6,4,3,4,5,2,7,5,7,4,3,1,1,6,4,1,7,7,1,4.5,medium,0,4.0,0.0,0,3.75,0,4.0,2.25,5.25,3.8333333333333335,"Experiencia de aprendizaje: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.","Principal desafío: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.","Necesidad de formación: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor."
IC212KJK,32,Mujer,Operaciones,6,Grado,1,Tecnología,3,0,0,0,1,0,LMS IA,2,5,3,1,6,4,4,6,4,4,1,3,2,5,6,6,5,2,7,5,5,2,3,5,5,5,3,3,3.5,low,0,2.75,-1.25,0,4.5,1,3.5,4.75,4.75,4.333333333333333,"Experiencia de aprendizaje: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.","Principal desafío: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.","Necesidad de formación: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega."
XS0NY8LJ,45,Hombre,IT,13,Grado,0,Consultoría,4,1,0,1,1,0,LMS IA,7,3,7,4,5,5,6,7,5,4,1,5,1,5,4,5,1,5,5,3,2,4,4,6,7,3,1,5,4.0,medium,0,3.0,-1.0,0,5.5,1,5.25,3.5,3.75,4.166666666666667,Experiencia de aprendizaje: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. La colaboración con mentores y compañeros aceleraría la adopción.,Principal desafío: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. La colaboración con mentores y compañeros aceleraría la adopción.,Necesidad de formación: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. La colaboración con mentores y compañeros aceleraría la adopción.
UOB0BD7F,57,No binario,IT,19,Grado,0,Consultoría,5,0,1,0,1,1,Otra,5,2,5,7,2,3,7,2,4,1,3,5,7,7,2,3,7,5,4,1,5,3,4,3,7,6,1,2,2.5,low,0,5.5,1.5,1,3.5,1,4.25,3.25,4.25,3.9166666666666665,"Experiencia de aprendizaje: Aunque uso IA, valido los resultados y conservo autonomía en mi trabajo. Me siento motivado para experimentar y mejorar en cada iteración. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. Ejemplos prácticos adaptados a mi rol mejorarían mi confianza.","Principal desafío: Aunque uso IA, valido los resultados y conservo autonomía en mi trabajo. Me siento motivado para experimentar y mejorar en cada iteración. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. Ejemplos prácticos adaptados a mi rol mejorarían mi confianza.","Necesidad de formación: Aunque uso IA, valido los resultados y conservo autonomía en mi trabajo. Me siento motivado para experimentar y mejorar en cada iteración. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. Ejemplos prácticos adaptados a mi rol mejorarían mi confianza."
