empleado_id,fecha_respuesta,edad,genero,departamento,antiguedad_empresa,nivel_estudios,frecuencia_uso_ia,herramientas_ia_utilizadas,nivel_integracion_ia,tipo_formacion_recibida,indice_motivacion,indice_desarrollo_talento,indice_autoeficacia,indice_experiencia_aprendizaje,indice_aceptacion_ia,p1_utilizo_ia_para_aprendizaje,p2_ia_facilita_mi_aprendizaje,p3_motivado_participar_formacion,p4_interes_desarrollar_competencias,p5_formacion_contribuye_crecimiento,p6_mejoro_habilidades_laborales,p7_confianza_afrontar_retos,p8_preparado_aplicar_conocimientos,p9_confio_uso_ia_aprendizaje,p10_ia_util_desarrollo_profesional,comentarios_experiencia_ia,sugerencias_mejora
EMP_0001,2026-02-01 20:49:23,30,Hombre,Tecnología,3-5 años,Máster,3,ChatGPT/Claude,2,Formación interna,4.18,4.32,4.26,4.24,4.24,4,4,4,5,4,5,5,3,4,4,"La uso ocasionalmente, principalmente para consultas puntuales.",Más formación específica sobre herramientas de IA aplicadas a mi rol.
EMP_0002,2026-01-23 20:49:23,48,Hombre,Tecnología,5-10 años,FP Superior,3,"ChatGPT/Claude, Copilot/GitHub Copilot",3,"Udemy, Soft skills, Formación técnica",3.87,3.45,4.19,4.45,4.52,4,4,4,4,3,3,3,5,4,4,Es útil pero todavía estoy explorando cómo sacarle más partido.,Integrar la IA de forma más natural en las plataformas de formación existentes.
EMP_0003,2026-01-23 20:49:23,40,Mujer,Operaciones,1-3 años,Doctorado,4,Ninguna,4,Udemy,4.76,4.65,4.74,5.45,5.54,5,6,5,4,4,6,5,4,5,6,La IA me ha ayudado mucho a personalizar mi aprendizaje y encontrar recursos relevantes.,Tutoriales sobre cómo usar IA para aprendizaje efectivo.
EMP_0004,2026-02-18 20:49:23,35,Mujer,Tecnología,3-5 años,Grado/Licenciatura,2,"ChatGPT/Claude, Asistentes de código",2,"Formación interna, Soft skills, Formación técnica",3.02,2.55,3.49,3.46,3.09,3,3,2,3,3,3,4,3,3,3,"No he usado mucho la IA en mi formación, prefiero otros métodos.",Mayor personalización en las recomendaciones de formación.
EMP_0005,2026-02-10 20:49:23,28,Mujer,Tecnología,3-5 años,Grado/Licenciatura,4,"ChatGPT/Claude, Copilot/GitHub Copilot, Otras herramientas",3,Udemy,5.7,5.32,4.67,5.37,5.76,5,5,7,5,5,5,5,4,5,6,ChatGPT es excelente para resolver dudas rápidas durante la formación.,Casos de uso específicos de IA en nuestro sector.
EMP_0006,2026-02-14 20:49:23,28,Mujer,Finanzas,5-10 años,Grado/Licenciatura,1,"ChatGPT/Claude, Asistentes de código",1,Formación técnica,3.22,2.32,3.17,2.39,2.08,2,2,3,4,3,2,3,2,2,2,Todavía no me siento cómodo usando estas herramientas digitales.,Espacios para compartir mejores prácticas de uso de IA.
EMP_0007,2026-02-15 20:49:23,25,Mujer,Marketing,Más de 10 años,Grado/Licenciatura,4,"ChatGPT/Claude, Copilot/GitHub Copilot, Asistentes de código",3,"Udemy, Formación interna",5.28,5.19,4.99,5.19,5.46,5,5,5,4,6,5,5,6,6,5,Me permite aprender a mi ritmo y profundizar en los temas que más me interesan.,Crear una biblioteca de prompts útiles para diferentes situaciones.
EMP_0008,2026-01-29 20:49:23,42,Mujer,Finanzas,Menos de 1 año,Máster,4,"ChatGPT/Claude, Copilot/GitHub Copilot, Asistentes de código",4,"Udemy, Soft skills",4.67,4.37,4.58,4.58,5.21,5,6,5,5,4,5,4,5,5,6,Las recomendaciones personalizadas de la IA mejoran mi experiencia formativa.,Sesiones de Q&A sobre herramientas de IA disponibles.
EMP_0009,2026-02-05 20:49:23,35,Hombre,Tecnología,3-5 años,Máster,2,ChatGPT/Claude,2,Ninguna reciente,3.27,3.34,3.02,3.46,3.13,3,3,4,4,3,3,3,2,3,3,No veo claro cómo la IA puede ayudarme en mi desarrollo profesional.,Guías de ética y uso responsable de IA en formación.
EMP_0010,2026-02-17 20:49:23,38,Hombre,RRHH,Menos de 1 año,Grado/Licenciatura,3,Ninguna,3,"Udemy, Formación interna, Soft skills",3.73,4.18,4.15,4.43,4.4,4,4,4,4,5,3,3,5,4,5,"A veces ayuda, otras veces prefiero métodos tradicionales.",Integración con sistemas de gestión del aprendizaje actuales.
